brand,primary_color,estimatedmarketvalue,gender,name,retailprice,silhouette
adidas,Core Black,131.0,men,adidas Crazy IIInfinity Stormtrooper,160.0,Crazy IIInfinity
adidas,Off-White,155.0,men,adidas Harden Vol. 7 Year of the Dragon (2024),160.0,Harden Vol. 7
adidas,Core White,96.0,men,adidas D.O.N. Issue #5 Year of the Dragon (2024),120.0,D.O.N. Issue #5
adidas,Crystal White,204.0,men,adidas NMD R1 Crystal White Better Scarlet,130.0,NMD Runner
adidas,Black,133.0,men,adidas AE 1 Stormtrooper,120.0,AE 1
adidas,Cloud White,500.0,men,CLOT x Superstar 'White',0.0,Superstar
adidas,Core Black,169.0,men,Kader Sylla x Samba ADV 'Brown Gum',0.0,Samba
adidas,Core Black,150.0,kid,adidas Predator Elite Foldover Tongue FG Solar Energy Pack (GS),150.0,adidas Predator Elite Foldover Tongue FG
adidas,Core Black,365.0,men,adidas Predator Elite Foldover Tongue F Solar Energy Pack,280.0,Predator Elite
adidas,Core Black,252.0,men,adidas Predator Elite Laceless FG Solar Energy Pack,260.0,Predator Elite
adidas,Grey Six,112.0,women,Wmns Gazelle Bold 'Grey Magic Beige Gum',120.0,Gazelle
adidas,Cloud White,336.0,men,NMD_R1 'White Green',130.0,NMD Runner
adidas,Night Indigo,130.0,men,NMD_R1 'Night Indigo Yellow',130.0,NMD Runner
adidas,Core White,268.0,women,Wmns PureBoost 23 'Leopard',140.0,PureBoost
adidas,Gold Metallic,300.0,men,Forum Mid 'Carnival',160.0,Forum
adidas,Maroon,296.0,women,Wmns UltraBoost 1.0 'Valentine's Day 2024',190.0,UltraBoost
adidas,Wonder Quartz,112.0,women,Wmns Gazelle Bold 'Wonder Quartz Black Gum',120.0,Gazelle
adidas,Off White,166.0,men,Trae Young 3 'Red',140.0,Trae Young 3
adidas,Active Pink,116.0,women,Wmns Gazelle Bold 'Active Pink Blue Burst',120.0,Gazelle
adidas,True Pink,114.0,women,Wmns Gazelle Bold 'True Pink Green',120.0,Gazelle
adidas,Off White,283.0,men,Malbon Golf x MC87 Spikeless Golf 'Off White Collegiate Navy',0.0,MC87
adidas,Off White,200.0,men,Malbon Golf x Stan Smith Spikeless Golf 'Off White Collegiate Navy',0.0,Stan Smith
adidas,Legend Ink,65.0,men,Runfalcon 3.0 'Legend Ink White',65.0,Runfalcon 3.0
adidas,Arctic Fusion,111.0,men,adidas AE 1 New Wave,120.0,AE 1
adidas,Olive Strata,55.0,kid,Racer TR23 J 'Olive Strata Camo',55.0,Racer TR23
adidas,Magic Beige,55.0,kid,Racer TR23 J 'Leopard',55.0,Racer TR23
adidas,Core Black,140.0,kid,Predator 24+ Laceless FG J 'Solar Energy Pack',140.0,Predator 24
adidas,Arctic Fusion,87.0,kid,adidas AE 1 New Wave (GS),100.0,AE 1
adidas,Cloud White,100.0,men,Forum Low 'White Night Indigo',100.0,Forum
adidas,Cloud White,306.0,men,Adizero Cybersonic 'White Matte Silver',180.0,Adizero Cybersonic
adidas,Collegiate Green,115.0,men,Campus 00s 'Collegiate Green',0.0,Campus
adidas,Core Black,114.0,men,Ozmillen 'Black Better Scarlet',110.0,Ozmillen
adidas,Grey Two,137.0,men,adidas Ozmillen Grey Royal Blue,110.0,Ozmillen
adidas,Grey Two,155.0,men,Ozmillen 'Grey Crystal White',110.0,Ozmillen
adidas,Cloud White,55.0,men,Adizero Impact.2 Molded 'White Silver Metallic',55.0,Adizero Impact.2
adidas,Core Black,112.0,women,Wmns Ozmillen 'Black Green Spark',110.0,Ozmillen
adidas,Cloud White,65.0,women,Wmns Runfalcon 3.0 'White Black',65.0,Runfalcon 3.0
adidas,Cloud White,75.0,men,Adilette 22 XLG Slide 'Triple White',75.0,Adilette 22
adidas,Collegiate Green,180.0,women,Wmns Samba OG 'Collegiate Green Gum',100.0,Samba
adidas,Cloud White,99.0,men,Stan Smith 'White Preloved Blue Gum',0.0,Stan Smith
adidas,Cloud White,118.0,women,Wmns Ozmillen 'White Glow Orange',110.0,Ozmillen
adidas,Cloud White,750.0,men,Tour 360 22 Golf 'White Lucid Blue',180.0,Tour 360
adidas,Charcoal,170.0,men,adidas Crazy IIInfinity Charcoal Black,160.0,Crazy IIInfinity
adidas,Olive Strata,85.0,men,Dan Mancina x Busenitz 'Olive Strata Red',90.0,Busenitz
adidas,Core Black,259.0,kid,Predator 24 League TF J 'Solar Energy Pack',70.0,Predator 24
adidas,Core Black,80.0,kid,Predator 24 League Laceless FG J 'Solar Energy Pack',80.0,Predator 24
adidas,Core Black,70.0,kid,Predator 24 League IN J 'Solar Energy Pack',70.0,Predator 24
adidas,Off White,740.0,men,Y-3 Country 'Off White',350.0,Y-3 Country
adidas,Black,327.0,men,Y-3 Country 'Triple Black',350.0,Y-3 Country
adidas,Off White,155.0,men,adidas Centennial 85 Low Consortium Cup Offspring,165.0,Centennial
adidas,Cloud White,130.0,men,NCAA x AlphaBoost V1 'Washington Huskies',130.0,AlphaBoost V1
adidas,Team Solar Yellow,100.0,men,X Crazyfast League Laceless TF 'Solar Energy Pack',100.0,X Crazyfast
adidas,Grey One,262.0,women,adidas Adistar Cushion 3 Grey Semi Green Spark (Women's),150.0,Adistar Cushion
adidas,Black,464.0,men,Y-3 Qasa High 'Black Off White',400.0,Qasa
adidas,Off White,464.0,men,Y-3 Qasa High 'Off White Black',400.0,Qasa
adidas,Core Black,70.0,kid,Predator 24 League FG J 'Solar Energy Pack',70.0,Predator 24
adidas,Team Solar Yellow,314.0,men,X Crazyfast League IN 'Solar Energy Pack',85.0,X Crazyfast
adidas,Core Black,100.0,men,Predator 24 League Laceless TF 'Solar Energy Pack',100.0,Predator 24
adidas,Team Solar Yellow,296.0,men,X Crazyfast Elite TF 'Solar Energy Pack',140.0,X Crazyfast
adidas,Preloved Ink,160.0,men,Adizero Boston 12 'Preloved Ink Scarlet',160.0,Adizero Boston
adidas,Core Black,103.0,men,Predator 24 League Low Freestyle 'Black White Solar Red',100.0,Predator 24
adidas,Team Solar Yellow,262.0,men,X Crazyfast Pro FG 'Solar Energy Pack',150.0,X Crazyfast
adidas,Ivory,140.0,men,Copa Pure 2 Pro FG 'Solar Energy Pack',140.0,Copa Pure
adidas,Signal Green,376.0,women,Stella McCartney x Wmns UltraBoost Light 'Signal Green',250.0,UltraBoost Light
adidas,Core Black,188.0,men,Predator 24 League Low FG 'Solar Energy Pack',85.0,Predator 24
adidas,Core Black,241.0,men,Predator 24 League TF 'Solar Energy Pack',95.0,Predator 24
adidas,Team Solar Yellow,205.0,men,X Crazyfast League Laceless FG 'Solar Energy Pack',100.0,X Crazyfast
adidas,Ivory,152.0,men,Copa Pure 2 League FG 'Solar Energy Pack',80.0,Copa Pure
adidas,Ivory,353.0,men,Copa Pure 2 Elite FG 'Solar Energy Pack',230.0,Copa Pure
adidas,Core Black,132.0,men,Predator 24 League Low TF 'Solar Energy Pack',85.0,Predator 24
adidas,Trace Khaki,287.0,women,Stella McCartney x Wmns UltraBoost 20 'Trace Khaki',230.0,UltraBoost 20
adidas,Ivory,311.0,men,Copa Pure 2 Elite TF 'Solar Energy Pack',130.0,Copa Pure
adidas,Preloved Ink,128.0,men,Samba OG 'Reflective Nylon Pack - Preloved Ink',120.0,Samba
adidas,Ivory,150.0,women,Wmns Sambae 'Valentine's Day 2024',110.0,Samba
adidas,Core Black,200.0,men,Copa Pure 2 League IN 'Solar Energy Pack',95.0,Copa Pure
adidas,Team Solar Yellow,272.0,men,X Crazyfast Elite Laceless FG 'Solar Energy Pack',260.0,X Crazyfast
adidas,Green,100.0,men,SL72 RS 'Green Yellow',100.0,SL72
adidas,Core Black,205.0,men,Predator 24 League Laceless FG 'Solar Energy Pack',100.0,Predator 24
adidas,Team Solar Yellow,145.0,men,X Crazyfast League FG 'Solar Energy Pack',85.0,X Crazyfast
adidas,Core Black,208.0,men,Predator 24 Elite TF 'Solar Energy Pack',140.0,Predator 24
adidas,Team Solar Yellow,140.0,men,X Crazyfast Elite IN 'Solar Energy Pack',140.0,X Crazyfast
adidas,Legend Ink,230.0,women,Wmns Switch FWD 'Legend Ink',140.0,Switch FWD
adidas,Putty Mauve,158.0,women,Wmns Superstar XLG 'Valentine's Day 2024',110.0,Superstar
