id,brand,colorway,estimatedMarketValue,gender,image,links,name,releaseDate,releaseYear,retailPrice,silhouette,sku,story
cc25575e-b235-46bc-b12e-6a66633c3ddf,adidas,Core Black/Cloud White/Chalk White,131,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/092/765/985/original/IG6303.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/092/765/985/original/IG6303.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/092/765/985/original/IG6303.png.png'}","{'stockX': 'https://stockx.com/adidas-crazy-iiinfinity-stormtrooper', 'goat': 'https://goat.com/sneakers/crazy-iiinfinity-white-black-ig6303', 'flightClub': 'https://flightclub.com/crazy-iiinfinity-white-black-ig6303', 'stadiumGoods': ''}",adidas Crazy IIInfinity Stormtrooper,2024-12-30,2024,160,Crazy IIInfinity,IG6303,"The adidas Crazy IIInfinity ‘Stormtrooper’ presents a retro-inspired lifestyle silhouette that takes design cues from the Crazy 1, formerly known as The Kobe. The upper features a zippered shroud in black textile, contrasted by white molded foam paneling with debossed three-stripes at the midfoot. A reinforced rubber toe cap gives a nod to The Kobe 2, along with adidas’ shell-toe heritage. Underfoot, the herringbone-traction rubber outsole reveals an exposed TPU shank for midfoot stability."
be58449f-1866-46c7-93ba-4b4db96cb291,adidas,Off-White/Black/Metallic Gold,155,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/096/506/877/original/IH7516.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/096/506/877/original/IH7516.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/096/506/877/original/IH7516.png.png'}","{'stockX': 'https://stockx.com/adidas-harden-vol-7-year-of-the-dragon-2024', 'goat': 'https://goat.com/sneakers/harden-vol-7-year-of-the-dragon-ih7516', 'flightClub': 'https://flightclub.com/harden-vol-7-year-of-the-dragon-ih7516', 'stadiumGoods': ''}",adidas Harden Vol. 7 Year of the Dragon (2024),2024-12-29,2024,160,Harden Vol. 7,IH7516,
7bd701b1-9c21-4c1a-9569-4165b9df529c,adidas,Core White/Matte Gold/Halo Gold,96,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/096/421/316/original/IH7517.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/096/421/316/original/IH7517.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/096/421/316/original/IH7517.png.png'}","{'stockX': 'https://stockx.com/adidas-don-issue-5-year-of-the-dragon-2024', 'goat': 'https://goat.com/sneakers/d-o-n-issue-5-year-of-the-dragon-ih7517', 'flightClub': 'https://flightclub.com/d-o-n-issue-5-year-of-the-dragon-ih7517', 'stadiumGoods': ''}",adidas D.O.N. Issue #5 Year of the Dragon (2024),2024-12-27,2024,120,D.O.N. Issue #5,IH7517,
8682e7bd-a1bb-4552-813a-2c469c23e27d,adidas,Crystal White/Cloud White/Better Scarlet,204,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/095/520/751/original/IF3501.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/095/520/751/original/IF3501.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/095/520/751/original/IF3501.png.png'}","{'stockX': 'https://stockx.com/adidas-nmd-r1-crystal-white-better-scarlet', 'goat': 'https://goat.com/sneakers/nmd_r1-crystal-white-scarlet-if3501', 'flightClub': 'https://flightclub.com/nmd_r1-crystal-white-scarlet-if3501', 'stadiumGoods': ''}",adidas NMD R1 Crystal White Better Scarlet,2024-11-26,2024,130,NMD Runner,IF3501,
255eef3c-e8d7-4418-b14b-3d3edc4c3beb,adidas,Black/Carbon/Lucid Lemon,133,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/097/406/495/original/1344438_00.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/097/406/495/original/1344438_00.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/097/406/495/original/1344438_00.png.png'}","{'stockX': 'https://stockx.com/adidas-ae-1-stormtrooper', 'goat': 'https://goat.com/sneakers/ae-1-white-lime-if1857', 'flightClub': 'https://flightclub.com/ae-1-white-lime-if1857', 'stadiumGoods': ''}",adidas AE 1 Stormtrooper,2024-03-01,2024,120,AE 1,IF1857,
3be17f0a-c383-41a5-8bd7-30bb300bcf24,adidas,Cloud White/Core Black/Crystal Sand,500,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/096/936/747/original/CLOTSUPERSTARWHT.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/096/936/747/original/CLOTSUPERSTARWHT.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/096/936/747/original/CLOTSUPERSTARWHT.png.png'}","{'stockX': '', 'goat': 'https://goat.com/sneakers/clot-x-superstar-white-clotsuperstarwht', 'flightClub': 'https://flightclub.com/clot-x-superstar-white-clotsuperstarwht', 'stadiumGoods': ''}",CLOT x Superstar 'White',2024-02-23,2024,0,Superstar,IH3132,
d14bb9a6-5f8b-49b8-a106-c79922e72157,adidas,Core Black/Brown/Gum,169,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/097/167/084/original/IF9235.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/097/167/084/original/IF9235.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/097/167/084/original/IF9235.png.png'}","{'stockX': '', 'goat': 'https://goat.com/sneakers/kader-sylla-x-samba-adv-brown-gum-if9235', 'flightClub': 'https://flightclub.com/kader-sylla-x-samba-adv-brown-gum-if9235', 'stadiumGoods': ''}",Kader Sylla x Samba ADV 'Brown Gum',2024-02-10,2024,0,Samba,IF9235,
0a010d9f-6351-46f4-ac21-f9f0f3730b8a,adidas,Core Black/Cloud White/Solar Red,150,child,"{'360': [], 'original': 'https://images.stockx.com/images/adidas-Predator-Elite-Foldover-Tongue-FG-Solar-Energy-Pack-GS.jpg?fit=fill&bg=FFFFFF&w=500&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1706316961', 'small': 'https://images.stockx.com/images/adidas-Predator-Elite-Foldover-Tongue-FG-Solar-Energy-Pack-GS.jpg?fit=fill&bg=FFFFFF&w=375&h=375&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1706316961', 'thumbnail': 'https://images.stockx.com/images/adidas-Predator-Elite-Foldover-Tongue-FG-Solar-Energy-Pack-GS.jpg?fit=fill&bg=FFFFFF&w=200&h=200&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1706316961'}","{'stockX': 'https://stockx.com/adidas-predator-elite-foldover-tongue-fg-solar-energy-pack-gs', 'goat': '', 'flightClub': '', 'stadiumGoods': ''}",adidas Predator Elite Foldover Tongue FG Solar Energy Pack (GS),2024-02-07,2024,150,adidas Predator Elite Foldover Tongue FG,ID6582,
dc898c19-2432-4b64-bce2-caba5b4cc376,adidas,Core Black/Cloud White/Solar Red,365,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/097/213/237/original/IE1809.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/097/213/237/original/IE1809.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/097/213/237/original/IE1809.png.png'}","{'stockX': 'https://stockx.com/adidas-predator-elite-foldover-tongue-f-solar-energy-pack', 'goat': 'https://goat.com/sneakers/predator-elite-ft-fg-solar-energy-pack-ie1809', 'flightClub': 'https://flightclub.com/predator-elite-ft-fg-solar-energy-pack-ie1809', 'stadiumGoods': ''}",adidas Predator Elite Foldover Tongue F Solar Energy Pack,2024-02-07,2024,280,Predator Elite,IE1809,
fae403b1-779d-4f69-905a-aa8cf872e0c5,adidas,Core Black/Cloud White/Solar Red,252,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/097/400/150/original/IE1805.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/097/400/150/original/IE1805.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/097/400/150/original/IE1805.png.png'}","{'stockX': 'https://stockx.com/adidas-predator-elite-laceless-fg-solar-energy-pack', 'goat': 'https://goat.com/sneakers/predator-elite-laceless-fg-solar-energy-pack-ie1805', 'flightClub': 'https://flightclub.com/predator-elite-laceless-fg-solar-energy-pack-ie1805', 'stadiumGoods': ''}",adidas Predator Elite Laceless FG Solar Energy Pack,2024-02-07,2024,260,Predator Elite,IE1805,
