id,brand,colorway,estimatedMarketValue,gender,image,links,name,releaseDate,releaseYear,retailPrice,silhouette,sku,story
5338a798-ac8b-442f-a8b2-71d3a79311a5,Jordan,White/Black/Dark Mocha,120,youth,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-jordan-1-retro-low-og-gs-mocha-cz0858-102', 'flightClub': 'https://flightclub.com/air-jordan-1-retro-low-og-gs-mocha-cz0858-102', 'stadiumGoods': ''}",Air Jordan 1 Retro Low OG GS 'Mocha',2024-08-21,2024,120,Air Jordan 1,CZ0858-102,"The Air Jordan 1 Retro Low OG GS ‘Mocha’ showcases color blocking that recalls the ‘Dark Mocha’ AJ1 from 2020. The low-top sports a white leather upper with contrasting black accents on the Swoosh and forefoot overlay. Brown nubuck construction is utilized on the heel and back tab, marked with the iconic Wings logo. A woven Nike tag adorns the breathable nylon tongue. The sneaker rests on a standard rubber cupsole, featuring stitched sidewall construction and encapsulated Air-sole cushioning."
9266875a-4e96-4e80-b968-e8d54d62cba4,Jordan,White/Black/Dark Mocha,75,youth,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-jordan-1-retro-low-og-ps-mocha-fq5436-102', 'flightClub': 'https://flightclub.com/air-jordan-1-retro-low-og-ps-mocha-fq5436-102', 'stadiumGoods': ''}",Air Jordan 1 Retro Low OG PS 'Mocha',2024-08-21,2024,75,Air Jordan 1,FQ5436-102,"The Air Jordan 1 Retro Low OG PS ‘Mocha’ features a white and black leather upper with brown nubuck construction on the heel overlay and back tab. The latter displays the iconic Wings logo, while a woven Nike tag decorates the tongue. The low-top is appointed with classic Jordan details, including a perforated toe box and a durable rubber cupsole. Underfoot, the outsole pattern features a pivot circle originally designed for the hardwood."
bfee372b-8078-44ee-b878-51bdbc622b06,Jordan,White/Black/Dark Mocha,65,infant,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-jordan-1-retro-low-og-td-mocha-fq5435-102', 'flightClub': 'https://flightclub.com/air-jordan-1-retro-low-og-td-mocha-fq5435-102', 'stadiumGoods': ''}",Air Jordan 1 Retro Low OG TD 'Mocha',2024-08-21,2024,65,Air Jordan 1,FQ5435-102,"The Air Jordan 1 Retro Low OG TD ‘Mocha’ features color blocking that parallels the AJ1 ‘Dark Mocha’ from 2020. The low-top makes use of a white leather upper, contrasted by black accents on the forefoot overlay and signature Swoosh. Brown nubuck construction is utilized on the heel overlay and back tab. The latter is stamped with the iconic Wings logo, while a woven Nike tag appears on the tongue. Underfoot, a black rubber outsole provides reliable traction for growing feet."
5f233519-992e-45c3-b7f3-9f20ec6c448a,Jordan,Black/Solar Flare-Total Crimson Abyss,250,men,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': 'https://stockx.com/air-jordan-3-retro-j-balvin-rio', 'goat': 'https://goat.com/sneakers/j-balvin-x-air-jordan-3-retro-rio-fn0344-001', 'flightClub': 'https://flightclub.com/j-balvin-x-air-jordan-3-retro-rio-fn0344-001', 'stadiumGoods': ''}",Jordan 3 Retro J Balvin Rio,2024-07-01,2024,250,Air Jordan 3,FN0344-001,
8412535a-3029-470a-aa42-f79c71637d54,Jordan,Canary/Racer Blue-Light Silver-Gum Medium Brown,1850,women,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/097/103/468/original/DZ4137_700.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/097/103/468/original/DZ4137_700.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/097/103/468/original/DZ4137_700.png.png'}","{'stockX': 'https://stockx.com/air-jordan-1-retro-low-og-sp-travis-scott-canary-womens', 'goat': 'https://goat.com/sneakers/travis-scott-x-wmns-air-jordan-1-retro-low-og-sp-canary-dz4137-700', 'flightClub': 'https://flightclub.com/travis-scott-x-wmns-air-jordan-1-retro-low-og-sp-canary-dz4137-700', 'stadiumGoods': ''}",Jordan 1 Retro Low OG SP Travis Scott Canary (Women's),2024-07-01,2024,150,Air Jordan 1,DZ4137-700,
c8f2762d-9bef-4bbd-8f08-d97bceca8c3b,Jordan,Summit White/Obsidian-Summit White-Gum Medium Brown,180,men,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': 'https://stockx.com/air-jordan-1-retro-high-og-denim', 'goat': 'https://goat.com/sneakers/air-jordan-1-retro-high-og-summit-white-obsidian-fq2947-100', 'flightClub': 'https://flightclub.com/air-jordan-1-retro-high-og-summit-white-obsidian-fq2947-100', 'stadiumGoods': ''}",Jordan 1 Retro High OG Denim,2024-07-01,2024,180,Air Jordan 1,FQ2947-100,
4280d52c-99fe-4a7a-a5f6-418c92393023,Jordan,White/Black,160,youth,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-jordan-6-retro-gs-reverse-oreo-384665-112', 'flightClub': 'https://flightclub.com/air-jordan-6-retro-gs-reverse-oreo-384665-112', 'stadiumGoods': ''}",Air Jordan 6 Retro GS 'Reverse Oreo',2024-06-08,2024,160,Air Jordan 6,384665-112,"Made for big kids, the Air Jordan 6 Retro GS ‘Reverse Oreo’ draws inspiration from the black-and-white AJ6 colorway from 2010. The legacy silhouette dons a white leather upper, contrasted by a molded black tongue and a matching black textile lining. Jumpman branding embellishes the neoprene lace cover and back heel. The midsole and molded pull tab feature white speckles against a solid black backdrop, accentuating the shoe’s cookies-and-cream design motif Underfoot, a translucent rubber outsole provides grippy traction."
4a47c221-a61d-4217-8b3b-05a93a76d3c0,Jordan,White/Black,100,youth,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-jordan-6-retro-ps-reverse-oreo-dv3605-112', 'flightClub': 'https://flightclub.com/air-jordan-6-retro-ps-reverse-oreo-dv3605-112', 'stadiumGoods': ''}",Air Jordan 6 Retro PS 'Reverse Oreo',2024-06-08,2024,100,Air Jordan 6,DV3605-112,"Offered in pre-school sizing, the Air Jordan 6 Retro PS ‘Reverse Oreo’ presents a two-tone colorway inspired by the classic AJ6 release from 2010. Built with crisp white leather, the upper features perforated detailing and contrasting hits of black on the molded tongue and interior lining. Embroidered Jumpman branding decorates the lace cover and back heel. Anchoring the sneaker is a lightweight foam midsole, ornamented with black accents covered in white speckles."
bb9f7af6-ce7c-4047-b127-5d5339c8f41f,Jordan,White/Black,85,infant,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-jordan-6-retro-td-reverse-oreo-dv3606-112', 'flightClub': 'https://flightclub.com/air-jordan-6-retro-td-reverse-oreo-dv3606-112', 'stadiumGoods': ''}",Air Jordan 6 Retro TD 'Reverse Oreo',2024-06-08,2024,85,Air Jordan 6,DV3606-112,"The Air Jordan 6 Retro TD ‘Reverse Oreo’ takes its design cues from a black-and-white AJ6 colorway originally released in 2010. Crisp white leather is utilized on the upper, accented with perforated detailing and contrasting hits of black on the interior lining and tongue. The latter is marked with Jordan branding and an embroidered Jumpman logo. A second Jumpman icon decorates the back heel. A cushy foam midsole features white speckles against a solid black backdrop."
2315421d-c14c-4558-b873-f9b9dbe40ab7,Jordan,White/Legend Pink,80,youth,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-jordan-11-retro-low-gs-legend-pink-580522-160', 'flightClub': 'https://flightclub.com/air-jordan-11-retro-low-gs-legend-pink-580522-160', 'stadiumGoods': ''}",Air Jordan 11 Retro Low GS 'Legend Pink',2024-06-01,2024,80,Air Jordan 11,580522-160,"Made for big kids, the Air Jordan 11 Retro Low GS ‘Legend Pink’ delivers a pastel colorway of the legacy silhouette. White ballistic mesh is utilized on the upper, fortified with a pink patent leather mudguard and secured with rope laces that feed through webbing eyelets. Branding elements include a Jumpman logo and a stylized ‘23’ on the back heel. The low-top is mounted on a white Phylon midsole with encapsulated Air-sole cushioning and a carbon fiber spring plate. A translucent rubber outsole features herringbone traction pods for reliable grip."
d1372fbf-77a6-47c0-a0c3-f98e63e8eded,Jordan,White/Legend Pink,60,infant,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-jordan-11-retro-low-td-legend-pink-645107-160', 'flightClub': 'https://flightclub.com/air-jordan-11-retro-low-td-legend-pink-645107-160', 'stadiumGoods': ''}",Air Jordan 11 Retro Low TD 'Legend Pink',2024-06-01,2024,60,Air Jordan 11,645107-160,"The Air Jordan 11 Retro Low TD ‘Legend Pink’ brings pastel accents to the championship model. Rope laces feed through webbing eyelets to secure the upper, crafted from white ballistic mesh with a shiny patent leather mudguard in a soft pink finish. Jumpman branding decorates the tongue and back tab. The sneaker rests on a white foam midsole for lightweight cushioning and a comfortable ride. A translucent rubber outsole provides durable traction."
8a975f9b-efed-4656-ad61-9463592e959a,Jordan,Black/Legend Medium Brown/White/Sail,180,women,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/wmns-air-jordan-1-retro-high-og-legend-medium-brown-fd2596-021', 'flightClub': 'https://flightclub.com/wmns-air-jordan-1-retro-high-og-legend-medium-brown-fd2596-021', 'stadiumGoods': ''}",Wmns Air Jordan 1 Retro High OG 'Latte',2024-05-29,2024,180,Air Jordan 1,FD2596-021,"The Women’s Air Jordan 1 Retro High OG ‘Latte’ dresses the classic silhouette in color blocking that mirrors the ‘Dark Mocha’ AJ1 from 2020. Built with a crisp white base, the leather upper features black accents on the forefoot overlay and Swoosh, along with contrasting hits of dark tan on the heel and collar flap. The latter is marked with the iconic Wings logo, while a woven Nike Air tag embellishes the tongue. Underpinning the high-top is a vintage off-white rubber midsole, fitted with an Air-sole heel unit encapsulated in a lightweight polyurethane wedge."
