brand,primary_color,estimatedMarketValue,gender,name,retailPrice,silhouette
Mizuno,Preto,244.99,men,Botas Futebol Mizuno Morelia Neo Beta Japan,349.99,Mizuno Morelia
Mizuno,Branca,251.99,men,Botas Futebol Mizuno Morelia Neo Japan Mix,359.99,Mizuno Morelia
Mizuno,Preta,22.49,Another_One,Calńa Mizuno Core,24.99,Core
Mizuno,Azul,14.39,Another_One,Joelheira Mizuno,15.99,Joelheira
Mizuno,Preta,26.99,Another_One,Joelheira Mizuno,29.99,Joelheira
Mizuno,Azul,26.99,Another_One,Joelheira Mizuno,29.99,Joelheira
Mizuno,Branca,26.99,Another_One,Joelheira Mizuno,29.99,Joelheira
Mizuno,Branca,7.19,Another_One,Meias Mizuno,7.99,Meias
Mizuno,Branca,10.79,Another_One,Meias de Volei,11.99,Meias
Mizuno,Branca,12.15,Another_One,Meias De Volei Mizuno s,13.50,Meias
Mizuno,Preta,6.29,Another_One,Meias Volei,6.99,Meias
Mizuno,Amarelo,52.50,men,Tenis Running Mizuno Wave Polaris,104.99,Wave
Mizuno,Wos,75.00,men,Tenis Running Mizuno Wave Ultima,149.99,Wave
Mizuno,Roxo,52.50,men,Tenis Running Mizuno Wave Polaris  Sr,104.99,Wave
Mizuno,Azul,35.00,kid,Tenis Running Wave Rider  Jr,69.99,Wave
Mizuno,Rosa,35.00,kid,Tenis Running Wave Rider  Jr,69.99,Wave
Mizuno,Azul,85.00,men,Teni Bota  Volei  Mizuno Shoe Wave Lightning Z,169.99,Wave
Mizuno,Laranja,125.99,men,Tenis Volei Mizuno Wave Lightning Neo,179.99,Wave
Mizuno,Branco,80.99,men,Teni Bota Volei  Mizuno Thunder,89.99,Wave
Mizuno,Azul,90.00,men,Teni Volei  Mizuno  Wave Momentum,179.99,Thunder
Mizuno,Branco,111.99,men,Tenis Bota Volei Wave Lightning Z,159.99,Wave
Mizuno,Preto,90.00,men,Tenis Volei  Mizuno Shoe Wave Lightning Neoz,179.99,Wave
Mizuno,Azul,80.00,men,Teni Bota  Volei  Mizuno Shoe Wave Lightning,159.99,Wave
Mizuno,Azul,85.00,men,Teni Bota Volei Mizuno Wave Momentum,169.99,Wave
Mizuno,Branco,80.00,men,Tenis Andebol  Mizuno Wave Stealth,159.99,Wave
Mizuno,Azul,60.00,men,Tenis Volei  Mizuno Shoe Wave Voltage,119.99,Wave
Mizuno,Azul,80.00,men,Tenis Mizuno Shoe Wave Momentun,159.99,Wave
Mizuno,Branco,152.99,men,Teni Bota Volei Mizuno Wave Lightning Z8,169.99,Wave
Mizuno,Branco,62.99,men,Teni Bota Volei Mizuno Thunder Blade Z,89.99,Wave
Mizuno,Preto,85.00,men,Teni Bota Volei  Mizuno Wave Momentum,169.99,Thunder
Mizuno,Azul,80.00,men,Tenis Andebol  Mizuno Wave Stealth,159.99,Wave
Mizuno,Branco,75.00,men,Tenis Andebol  Mizuno Wave,149.99,Wave
Mizuno,Br,75.00,men,Tenis Andebol Mizuno Wave Stealth Neo,149.99,Wave
Mizuno,Azul,75.00,men,Tenis Padel Mizuno,149.99,Wave
Mizuno,Preto,60.00,men,Tenis Padel Mizuno Wave Exceed Light,119.99,Padel
Mizuno,Preto,55.00,women,Tenis Padel Mizuno Wave Exceed,109.99,Wave
Mizuno,Branco,76.99,men,Tenis Andebol Mizuno Wave Dimension,109.99,Wave
Mizuno,Bo,75.00,men,Tenis Andebol Mizuno Wave Stealth Neo,149.99,Wave
Mizuno,Cinza,75.00,men,Tenis Andebol Mizuno Wave Stealth Neo,149.99,Wave
Mizuno,Azul,35.00,men,Tenis Andebol Mizuno Lighting Star,69.99,Wave
Mizuno,Preto,40.00,men,Teni Bota Andebol Mizuno Thunder Blade,79.99,Thunder
Mizuno,Azul,67.50,men,Tenis Volei Mizuno Wave Luminous 2,134.99,Wave
Mizuno,Branco,104.99,men,Tenis Volei Wave Lightning Z,149.99,Wave
Mizuno,Cinza,60.00,men,Tenis Volei  Mizuno Shoe Voltage,119.99,Voltage
Mizuno,Branco,55.99,men,Tenis Volei Thunder Blade Z,79.99,Thunder
Mizuno,Azul,77.50,men,Tenis Volei Mizuno Wave Momentum 2,154.99,Wave
Mizuno,Lightning Star Jr,67.49,kid,Tenis Volei  Mizuno,74.99,Lightning
Mizuno,Azul,62.99,men,Teni Bota Volei Mizuno Thunder Blade Z,89.99,Thunder
Mizuno,Preto,13.49,Another_One,Manguito Mizuno,14.99,Manguito
Mizuno,Preto,13.49,Another_One,Manguito Asics,14.99,Manguito
Mizuno,Branco,13.49,Another_One,Manguito Mizuno,14.99,Manguito
Mizuno,Preto,17.99,Another_One,Calńao Mizuno,19.99,Perneira
Mizuno,Preto,14.39,Another_One,Calńao De Volei,15.99,Calçao
Mizuno,Azul,14.39,Another_One,Calńao De Volei,15.99,Calçao
Mizuno,Preta,10.79,Another_One,Perneira Mizuno Compression,11.99,Calçao
Mizuno,Preta,22.49,Another_One,Meia CompressŃo Mizuno,24.99,Meia
